,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images_q1,selected_images_q2,score_fooling_ai_1,score_fooling_ai_2,cue1,cue2,candidates
10,38BQUHLA9XM0JIAETVZVOHZ4QFJMOE,A382S0KJMW3K9S,3E22YV8GG1SM0G9LUUM81CX2L2QPN9,Submitted,2022-05-23 05:46:09+03:00,random_10_12_candidates_643,"['camera.jpg', 'reporter.jpg']","['flood.jpg', 'island.jpg', 'shower.jpg']",67,50,camera,water,"['flood.jpg', 'pancreas.jpg', 'island.jpg', 'godfather.jpg', 'shower.jpg', 'camera.jpg', 'darts.jpg', 'reporter.jpg', 'blender.jpg', 'airplane.jpg', 'drool.jpg', 'ark.jpg']"
11,3VHP9MDGRO6T4JLUH3MRYRLE41SFC9,A1HKYY6XI2OHO1,3E22YV8GG1SM0G9LUUM81CX2L2QPN9,Submitted,2022-05-23 06:28:40+03:00,random_10_12_candidates_643,"['flood.jpg', 'island.jpg']","['godfather.jpg', 'reporter.jpg']",100,0,lifejacket,mob,"['flood.jpg', 'pancreas.jpg', 'island.jpg', 'godfather.jpg', 'shower.jpg', 'camera.jpg', 'darts.jpg', 'reporter.jpg', 'blender.jpg', 'airplane.jpg', 'drool.jpg', 'ark.jpg']"
12,34Q075JO1YZIKCW6YOEMEOFJU2C101,A1HKYY6XI2OHO1,34KYK9TV2RUHCZ0GJLLT5M2JRXJSB3,Submitted,2022-05-23 06:30:22+03:00,random_10_12_candidates_1496,"['bag.jpg', 'snack.jpg']","['bunny.jpg', 'airplane.jpg']",67,67,sale,flaps,"['bunny.jpg', 'darts.jpg', 'cloak.jpg', 'hog.jpg', 'gift.jpg', 'airplane.jpg', 'icing.jpg', 'structure.jpg', 'border.jpg', 'bag.jpg', 'snack.jpg', 'clerk.jpg']"
13,3U0SRXB7CER9YDNUXOVZVRT96X6RNV,A2QX3YJXAAHHVV,34KYK9TV2RUHCZ0GJLLT5M2JRXJSB3,Submitted,2022-05-23 22:59:05+03:00,random_10_12_candidates_1496,"['gift.jpg', 'bag.jpg']","['gift.jpg', 'icing.jpg']",67,100,shop,party,"['bunny.jpg', 'darts.jpg', 'cloak.jpg', 'hog.jpg', 'gift.jpg', 'airplane.jpg', 'icing.jpg', 'structure.jpg', 'border.jpg', 'bag.jpg', 'snack.jpg', 'clerk.jpg']"
14,3AZHRG4CU56EUFALLSS52HUGSRD03P,A3RTW9UWYKSNWX,34KYK9TV2RUHCZ0GJLLT5M2JRXJSB3,Submitted,2022-05-24 02:24:46+03:00,random_10_12_candidates_1496,"['bunny.jpg', 'cloak.jpg']","['bunny.jpg', 'hog.jpg']",67,0,coat,quadruped,"['bunny.jpg', 'darts.jpg', 'cloak.jpg', 'hog.jpg', 'gift.jpg', 'airplane.jpg', 'icing.jpg', 'structure.jpg', 'border.jpg', 'bag.jpg', 'snack.jpg', 'clerk.jpg']"
15,3R8YZBNQ9I4KJRG742PAU4XEARYQ77,A2QX3YJXAAHHVV,3MA5N0ATTCXBCJLJ938N1EOUK4OWK6,Submitted,2022-05-23 02:27:43+03:00,random_10_12_candidates_147,"['chin.jpg', 'bottom.jpg']","['bottom.jpg', 'tree.jpg']",67,0,cleavage,orchard,"['chin.jpg', 'liter.jpg', 'pretzel.jpg', 'tea.jpg', 'bottom.jpg', 'sweater.jpg', 'tower.jpg', 'cutlery.jpg', 'mommy.jpg', 'tree.jpg']"
16,3137ONMDKHREFH13OEY460LTQRXEGQ,A3RTW9UWYKSNWX,3MA5N0ATTCXBCJLJ938N1EOUK4OWK6,Submitted,2022-05-23 04:03:18+03:00,random_10_12_candidates_147,"['liter.jpg', 'bottom.jpg']","['liter.jpg', 'tea.jpg']",67,0,pop,urine,"['chin.jpg', 'liter.jpg', 'pretzel.jpg', 'tea.jpg', 'bottom.jpg', 'sweater.jpg', 'tower.jpg', 'cutlery.jpg', 'mommy.jpg', 'tree.jpg']"
17,39JEC7537VNI0G7KHIRVGDO0SUECVQ,A1HKYY6XI2OHO1,3MA5N0ATTCXBCJLJ938N1EOUK4OWK6,Submitted,2022-05-23 06:04:01+03:00,random_10_12_candidates_147,"['pretzel.jpg', 'mommy.jpg']","['liter.jpg', 'tea.jpg']",67,67,entwine,gulp,"['chin.jpg', 'liter.jpg', 'pretzel.jpg', 'tea.jpg', 'bottom.jpg', 'sweater.jpg', 'tower.jpg', 'cutlery.jpg', 'mommy.jpg', 'tree.jpg']"
18,32Q90QCQ1T7JH3XME5JJ4SDMX8AKEV,A2QX3YJXAAHHVV,3MDWE879UHOZ7K4HAFL2ORXTZ9V9BA,Submitted,2022-05-23 02:18:34+03:00,random_10_12_candidates_1287,"['chlorine.jpg', 'credit card.jpg', 'dice.jpg']","['chlorine.jpg', 'credit card.jpg', 'dice.jpg']",50,50,number,four,"['batman.jpg', 'needle.jpg', 'mule.jpg', 'stereo.jpg', 'hook.jpg', 'chlorine.jpg', 'credit card.jpg', 'dice.jpg', 'pine.jpg', 'kitten.jpg']"
19,3A1COHJ8NKHB6CMNVHUMZQ18UPQ8H0,A1HKYY6XI2OHO1,3MDWE879UHOZ7K4HAFL2ORXTZ9V9BA,Submitted,2022-05-23 07:29:13+03:00,random_10_12_candidates_1287,"['batman.jpg', 'kitten.jpg']","['mule.jpg', 'stereo.jpg']",0,100,nocturnal,dance,"['batman.jpg', 'needle.jpg', 'mule.jpg', 'stereo.jpg', 'hook.jpg', 'chlorine.jpg', 'credit card.jpg', 'dice.jpg', 'pine.jpg', 'kitten.jpg']"
20,3X87C8JFV7X62P0ZS5NLPVTAXB9SQ6,A3RTW9UWYKSNWX,3MDWE879UHOZ7K4HAFL2ORXTZ9V9BA,Submitted,2022-05-24 02:27:00+03:00,random_10_12_candidates_1287,"['credit card.jpg', 'dice.jpg']","['batman.jpg', 'stereo.jpg']",67,67,gamble,dark,"['batman.jpg', 'needle.jpg', 'mule.jpg', 'stereo.jpg', 'hook.jpg', 'chlorine.jpg', 'credit card.jpg', 'dice.jpg', 'pine.jpg', 'kitten.jpg']"
21,31UV0MXWNRYSFPE53154NISWSBMI5H,A382S0KJMW3K9S,36BTXXLZ2VULQLFUPHB17YRHV3K4RM,Submitted,2022-05-23 02:28:34+03:00,random_10_12_candidates_1251,"['walrus.jpg', 'shepherd.jpg']","['tennis.jpg', 'prince.jpg', 'sunburn.jpg']",67,50,animal,human,"['clicker.jpg', 'walrus.jpg', 'antarctic.jpg', 'colt.jpg', 'singer.jpg', 'tennis.jpg', 'night.jpg', 'prince.jpg', 'hot.jpg', 'sunburn.jpg', 'roller coaster.jpg', 'shepherd.jpg']"
22,32SCWG5HIIQGFF1NLF5TOL78AKTP6H,A2QX3YJXAAHHVV,36BTXXLZ2VULQLFUPHB17YRHV3K4RM,Submitted,2022-05-23 02:44:15+03:00,random_10_12_candidates_1251,"['tennis.jpg', 'sunburn.jpg']","['prince.jpg', 'sunburn.jpg', 'roller coaster.jpg']",100,50,strap,strapless,"['clicker.jpg', 'walrus.jpg', 'antarctic.jpg', 'colt.jpg', 'singer.jpg', 'tennis.jpg', 'night.jpg', 'prince.jpg', 'hot.jpg', 'sunburn.jpg', 'roller coaster.jpg', 'shepherd.jpg']"
23,3IOEN3P9S85DYNIL0DU3NPPA74T16V,A1HKYY6XI2OHO1,36BTXXLZ2VULQLFUPHB17YRHV3K4RM,Submitted,2022-05-23 05:09:30+03:00,random_10_12_candidates_1251,"['tennis.jpg', 'roller coaster.jpg']","['prince.jpg', 'sunburn.jpg']",67,100,velocity,impression,"['clicker.jpg', 'walrus.jpg', 'antarctic.jpg', 'colt.jpg', 'singer.jpg', 'tennis.jpg', 'night.jpg', 'prince.jpg', 'hot.jpg', 'sunburn.jpg', 'roller coaster.jpg', 'shepherd.jpg']"
24,3NOKK93PR2UGV35CIJ8G6X0HDBFEE6,A1HKYY6XI2OHO1,3AC6MFV69K4O4OPGE5PXNQ2K9POZHV,Submitted,2022-05-23 02:42:29+03:00,random_10_12_candidates_1305,"['queen.jpg', 'billboard.jpg']","['shoelace.jpg', 'fender.jpg']",67,67,boss,stretch,"['clap.jpg', 'furniture.jpg', 'china.jpg', 'shoelace.jpg', 'fender.jpg', 'mug.jpg', 'queen.jpg', 'television.jpg', 'splinter.jpg', 'cola.jpg', 'jigsaw.jpg', 'billboard.jpg']"
25,34T446B1C1027F64EL36VKYAY3HC0O,A16184N1RO5OJV,3AC6MFV69K4O4OPGE5PXNQ2K9POZHV,Submitted,2022-05-23 22:12:47+03:00,random_10_12_candidates_1305,"['china.jpg', 'splinter.jpg']","['mug.jpg', 'cola.jpg']",100,0,health,drink,"['clap.jpg', 'furniture.jpg', 'china.jpg', 'shoelace.jpg', 'fender.jpg', 'mug.jpg', 'queen.jpg', 'television.jpg', 'splinter.jpg', 'cola.jpg', 'jigsaw.jpg', 'billboard.jpg']"
26,3DY4FPOOA2AM6IW3ZFHQ58NMS01VR9,A2QX3YJXAAHHVV,3AC6MFV69K4O4OPGE5PXNQ2K9POZHV,Submitted,2022-05-23 22:33:00+03:00,random_10_12_candidates_1305,"['cola.jpg', 'jigsaw.jpg', 'billboard.jpg']","['cola.jpg', 'jigsaw.jpg', 'billboard.jpg']",80,50,brand,company,"['clap.jpg', 'furniture.jpg', 'china.jpg', 'shoelace.jpg', 'fender.jpg', 'mug.jpg', 'queen.jpg', 'television.jpg', 'splinter.jpg', 'cola.jpg', 'jigsaw.jpg', 'billboard.jpg']"
27,3EFE17QCRDRTPW1W9F0RGH196IGSH1,A2QX3YJXAAHHVV,39AYGO6AFF6EQARGFYNZVC6LQX16NL,Submitted,2022-05-23 02:49:06+03:00,random_10_12_candidates_1760,"['blackboard.jpg', 'writer.jpg']","['mice.jpg', 'custard.jpg']",67,67,teach,nibble,"['champagne.jpg', 'judo.jpg', 'splinter.jpg', 'neck.jpg', 'blackboard.jpg', 'marsh.jpg', 'writer.jpg', 'mice.jpg', 'maple.jpg', 'custard.jpg']"
28,31LM9EDVOMES0P4HPJMQT07IWBKJNT,A1HKYY6XI2OHO1,39AYGO6AFF6EQARGFYNZVC6LQX16NL,Submitted,2022-05-23 05:58:09+03:00,random_10_12_candidates_1760,"['writer.jpg', 'maple.jpg']","['champagne.jpg', 'custard.jpg']",67,100,poetic,sloshed,"['champagne.jpg', 'judo.jpg', 'splinter.jpg', 'neck.jpg', 'blackboard.jpg', 'marsh.jpg', 'writer.jpg', 'mice.jpg', 'maple.jpg', 'custard.jpg']"
29,34MAJL3QP59VT3SM4TF7EKKT93Q436,A377LTGWJKY2IW,39AYGO6AFF6EQARGFYNZVC6LQX16NL,Submitted,2022-05-24 01:47:07+03:00,random_10_12_candidates_1760,"['writer.jpg', 'custard.jpg']","['neck.jpg', 'blackboard.jpg', 'writer.jpg']",67,50,sharp,learn,"['champagne.jpg', 'judo.jpg', 'splinter.jpg', 'neck.jpg', 'blackboard.jpg', 'marsh.jpg', 'writer.jpg', 'mice.jpg', 'maple.jpg', 'custard.jpg']"
30,3RANCT1ZVG3ZDWQEYSLV97GZW2YUB5,A3RTW9UWYKSNWX,3M67TQBQQHAUOAZP41L6TGDNHRA9AF,Submitted,2022-05-23 04:05:35+03:00,random_10_12_candidates_599,"['mortar.jpg', 'rolling.jpg']","['mortar.jpg', 'walnut.jpg']",100,100,cake,break,"['stallion.jpg', 'mortar.jpg', 'rolling.jpg', 'sweetener.jpg', 'primary school.jpg', 'artery.jpg', 'dogs.jpg', 'liquor.jpg', 'walnut.jpg', 'stairs.jpg']"
31,324G5B4FB4UWVYB8N4VVFY6WXN470U,A382S0KJMW3K9S,3M67TQBQQHAUOAZP41L6TGDNHRA9AF,Submitted,2022-05-23 04:06:49+03:00,random_10_12_candidates_599,"['sweetener.jpg', 'primary school.jpg']","['sweetener.jpg', 'primary school.jpg']",67,100,human,female,"['stallion.jpg', 'mortar.jpg', 'rolling.jpg', 'sweetener.jpg', 'primary school.jpg', 'artery.jpg', 'dogs.jpg', 'liquor.jpg', 'walnut.jpg', 'stairs.jpg']"
32,37W3JXSD67U8I88U3KEGZ6ZX2RVWYP,A1HKYY6XI2OHO1,3M67TQBQQHAUOAZP41L6TGDNHRA9AF,Submitted,2022-05-23 05:31:45+03:00,random_10_12_candidates_599,"['sweetener.jpg', 'primary school.jpg']","['stallion.jpg', 'dogs.jpg']",67,0,attentionseekers,faithful,"['stallion.jpg', 'mortar.jpg', 'rolling.jpg', 'sweetener.jpg', 'primary school.jpg', 'artery.jpg', 'dogs.jpg', 'liquor.jpg', 'walnut.jpg', 'stairs.jpg']"
33,33CID57105FRRBZ7ALEO01M4VK6L3R,A1HKYY6XI2OHO1,34D9ZRXCYRGCTPVOD7LXABID9FYSA8,Submitted,2022-05-23 07:19:02+03:00,random_10_12_candidates_694,"['dew.jpg', 'yard.jpg']","['cage.jpg', 'pan.jpg']",0,100,verdant,weld,"['dew.jpg', 'cage.jpg', 'shark.jpg', 'tendon.jpg', 'centipede.jpg', 'antarctic.jpg', 'pan.jpg', 'trailer.jpg', 'scarf.jpg', 'yard.jpg', 'sticker.jpg', 'tick.jpg']"
34,3N2BF7Y2VRGQR1ORPI454823EW1MHS,A2QX3YJXAAHHVV,34D9ZRXCYRGCTPVOD7LXABID9FYSA8,Submitted,2022-05-23 18:12:05+03:00,random_10_12_candidates_694,"['centipede.jpg', 'tick.jpg']","['shark.jpg', 'tick.jpg']",0,67,crawly,bite,"['dew.jpg', 'cage.jpg', 'shark.jpg', 'tendon.jpg', 'centipede.jpg', 'antarctic.jpg', 'pan.jpg', 'trailer.jpg', 'scarf.jpg', 'yard.jpg', 'sticker.jpg', 'tick.jpg']"
35,3I7DHKZYGOM85YCF2TZJKLF4CPT5FO,A382S0KJMW3K9S,34D9ZRXCYRGCTPVOD7LXABID9FYSA8,Submitted,2022-05-24 02:27:02+03:00,random_10_12_candidates_694,"['centipede.jpg', 'tick.jpg']","['cage.jpg', 'pan.jpg', 'trailer.jpg']",67,50,insect,metal,"['dew.jpg', 'cage.jpg', 'shark.jpg', 'tendon.jpg', 'centipede.jpg', 'antarctic.jpg', 'pan.jpg', 'trailer.jpg', 'scarf.jpg', 'yard.jpg', 'sticker.jpg', 'tick.jpg']"
36,3IFS6Q0HJJ5TLRCGFXICGT2O6VTSIS,A2QX3YJXAAHHVV,36QZ6V1589ZW8Y9MJC2OACU7GIQUSM,Submitted,2022-05-23 02:07:37+03:00,random_10_12_candidates_352,"['write.jpg', 'recipe.jpg']","['write.jpg', 'recipe.jpg']",67,67,complaint,review,"['bride.jpg', 'edge.jpg', 'high school.jpg', 'fork.jpg', 'write.jpg', 'hyena.jpg', 'recipe.jpg', 'worker.jpg', 'handyman.jpg', 'medal.jpg', 'brook.jpg', 'palm tree.jpg']"
37,32N49TQG3H4U71AMX4V4AIYCSRQVA4,A1HKYY6XI2OHO1,36QZ6V1589ZW8Y9MJC2OACU7GIQUSM,Submitted,2022-05-23 05:24:16+03:00,random_10_12_candidates_352,"['bride.jpg', 'edge.jpg']","['brook.jpg', 'palm tree.jpg']",100,67,swishswish,grateful,"['bride.jpg', 'edge.jpg', 'high school.jpg', 'fork.jpg', 'write.jpg', 'hyena.jpg', 'recipe.jpg', 'worker.jpg', 'handyman.jpg', 'medal.jpg', 'brook.jpg', 'palm tree.jpg']"
38,36W0OB37HX0QQ8NA47UZCAYCT3DZHM,A382S0KJMW3K9S,36QZ6V1589ZW8Y9MJC2OACU7GIQUSM,Submitted,2022-05-24 02:25:15+03:00,random_10_12_candidates_352,"['bride.jpg', 'write.jpg', 'handyman.jpg', 'brook.jpg']","['handyman.jpg', 'brook.jpg']",86,67,hair,hat,"['bride.jpg', 'edge.jpg', 'high school.jpg', 'fork.jpg', 'write.jpg', 'hyena.jpg', 'recipe.jpg', 'worker.jpg', 'handyman.jpg', 'medal.jpg', 'brook.jpg', 'palm tree.jpg']"
39,39N5ACM9HF93XY3LJM858VYA0L49PF,A3RTW9UWYKSNWX,3Z56AA6EK4M88S6G3X8ZIXHLL7R6ML,Submitted,2022-05-23 04:08:10+03:00,random_10_12_candidates_981,"['urine.jpg', 'cavity.jpg']","['brain.jpg', 'wire.jpg']",67,67,checkup,pathway,"['furniture.jpg', 'urine.jpg', 'march.jpg', 'brain.jpg', 'cavity.jpg', 'gulp.jpg', 'wire.jpg', 'lotion.jpg', 'linen.jpg', 'snout.jpg']"
40,37UQDCYH6YHCOZCOQ1JK0RWMRJL7VQ,A1HKYY6XI2OHO1,3Z56AA6EK4M88S6G3X8ZIXHLL7R6ML,Submitted,2022-05-23 05:38:54+03:00,random_10_12_candidates_981,"['urine.jpg', 'gulp.jpg']","['brain.jpg', 'linen.jpg']",67,67,fetish,folds,"['furniture.jpg', 'urine.jpg', 'march.jpg', 'brain.jpg', 'cavity.jpg', 'gulp.jpg', 'wire.jpg', 'lotion.jpg', 'linen.jpg', 'snout.jpg']"
41,392CY0QWG2DAJ6A5PWMUIQMISHOI4D,A382S0KJMW3K9S,3Z56AA6EK4M88S6G3X8ZIXHLL7R6ML,Submitted,2022-05-23 16:07:16+03:00,random_10_12_candidates_981,"['brain.jpg', 'cavity.jpg']","['urine.jpg', 'brain.jpg', 'cavity.jpg']",67,80,pain,examination,"['furniture.jpg', 'urine.jpg', 'march.jpg', 'brain.jpg', 'cavity.jpg', 'gulp.jpg', 'wire.jpg', 'lotion.jpg', 'linen.jpg', 'snout.jpg']"
42,3QJOXOW4XKDE7RXPZHWZJ55QMD5EMU,A2QX3YJXAAHHVV,3R868ACW4SYA4SU5UZ7F2QQJUPBZGW,Submitted,2022-05-23 02:10:20+03:00,random_10_12_candidates_237,"['cell.jpg', 'muscle.jpg']","['hat.jpg', 'umbrella.jpg', 'coat.jpg']",0,50,guide,cover,"['cell.jpg', 'hat.jpg', 'muscle.jpg', 'silver.jpg', 'umbrella.jpg', 'castle.jpg', 'tights.jpg', 'coat.jpg', 'bedroom.jpg', 'glitter.jpg']"
43,3SKRO2GZ72DKX23A2HO4X8US8Z7K1D,A382S0KJMW3K9S,3R868ACW4SYA4SU5UZ7F2QQJUPBZGW,Submitted,2022-05-23 02:48:06+03:00,random_10_12_candidates_237,"['tights.jpg', 'coat.jpg']","['tights.jpg', 'coat.jpg']",100,67,female,legs,"['cell.jpg', 'hat.jpg', 'muscle.jpg', 'silver.jpg', 'umbrella.jpg', 'castle.jpg', 'tights.jpg', 'coat.jpg', 'bedroom.jpg', 'glitter.jpg']"
44,3UXUOQ9OKFJSWB9QF6SO44I969L7AQ,A1HKYY6XI2OHO1,3R868ACW4SYA4SU5UZ7F2QQJUPBZGW,Submitted,2022-05-23 05:47:36+03:00,random_10_12_candidates_237,"['tights.jpg', 'coat.jpg']","['hat.jpg', 'umbrella.jpg']",100,67,karen,musical,"['cell.jpg', 'hat.jpg', 'muscle.jpg', 'silver.jpg', 'umbrella.jpg', 'castle.jpg', 'tights.jpg', 'coat.jpg', 'bedroom.jpg', 'glitter.jpg']"
45,3KIBXJ1WD6G5TUAB8JMF94701AGKOZ,A3RTW9UWYKSNWX,36U4VBVNQOZK7J994N2JK2PBUG7URY,Submitted,2022-05-23 02:21:58+03:00,random_10_12_candidates_1329,"['plane.jpg', 'bell.jpg']","['theater.jpg', 'court.jpg']",67,100,alarm,attend,"['plane.jpg', 'senator.jpg', 'tusk.jpg', 'theater.jpg', 'piece.jpg', 'curly.jpg', 'carbon.jpg', 'throw.jpg', 'suds.jpg', 'lion.jpg', 'bell.jpg', 'court.jpg']"
46,30JNVC0ORA6HCGMJHBBMLHM8OV8QHP,A1HKYY6XI2OHO1,36U4VBVNQOZK7J994N2JK2PBUG7URY,Submitted,2022-05-23 06:52:22+03:00,random_10_12_candidates_1329,"['senator.jpg', 'tusk.jpg']","['plane.jpg', 'throw.jpg']",100,67,midlife,momentum,"['plane.jpg', 'senator.jpg', 'tusk.jpg', 'theater.jpg', 'piece.jpg', 'curly.jpg', 'carbon.jpg', 'throw.jpg', 'suds.jpg', 'lion.jpg', 'bell.jpg', 'court.jpg']"
47,3QY5DC2MXS6PQD2U3U7RSX7KB64UFD,A2QX3YJXAAHHVV,36U4VBVNQOZK7J994N2JK2PBUG7URY,Submitted,2022-05-24 00:15:42+03:00,random_10_12_candidates_1329,"['tusk.jpg', 'theater.jpg', 'court.jpg']","['theater.jpg', 'piece.jpg', 'court.jpg']",80,100,EU,indoor,"['plane.jpg', 'senator.jpg', 'tusk.jpg', 'theater.jpg', 'piece.jpg', 'curly.jpg', 'carbon.jpg', 'throw.jpg', 'suds.jpg', 'lion.jpg', 'bell.jpg', 'court.jpg']"
48,3HPZF4IVNNFZ4A2PMTEFNCSUAB6YCB,A382S0KJMW3K9S,33IXYHIZB54ME3V2ZX8DFCV0W0Y2EB,Submitted,2022-05-23 02:26:22+03:00,random_10_12_candidates_26,"['spasm.jpg', 'boyfriend.jpg', 'runway.jpg']","['spasm.jpg', 'boyfriend.jpg', 'runway.jpg']",80,80,female,girl,"['gym.jpg', 'spasm.jpg', 'morse code.jpg', 'lamp.jpg', 'table.jpg', 'mucus.jpg', 'boyfriend.jpg', 'shovel.jpg', 'throat.jpg', 'runway.jpg', 'logo.jpg', 'dorm.jpg']"
49,3LOTDFNYA8L2IHRZYUMSALSHWGZWFM,A2QX3YJXAAHHVV,33IXYHIZB54ME3V2ZX8DFCV0W0Y2EB,Submitted,2022-05-23 03:01:13+03:00,random_10_12_candidates_26,"['lamp.jpg', 'table.jpg']","['table.jpg', 'dorm.jpg']",100,67,dust,dine,"['gym.jpg', 'spasm.jpg', 'morse code.jpg', 'lamp.jpg', 'table.jpg', 'mucus.jpg', 'boyfriend.jpg', 'shovel.jpg', 'throat.jpg', 'runway.jpg', 'logo.jpg', 'dorm.jpg']"
50,3JCG6DTRV4CUP9LM01YGUVE9FI2QQJ,A1HKYY6XI2OHO1,33IXYHIZB54ME3V2ZX8DFCV0W0Y2EB,Submitted,2022-05-23 06:33:12+03:00,random_10_12_candidates_26,"['lamp.jpg', 'shovel.jpg']","['mucus.jpg', 'throat.jpg']",67,100,rivets,gasp,"['gym.jpg', 'spasm.jpg', 'morse code.jpg', 'lamp.jpg', 'table.jpg', 'mucus.jpg', 'boyfriend.jpg', 'shovel.jpg', 'throat.jpg', 'runway.jpg', 'logo.jpg', 'dorm.jpg']"
